epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,97.0598,1.02793,1.26846,1.18665,0.91975,0.85463,0.91102,0.71604,1.0203,0.97381,1.24369,0.0006621,0.0006621,0.0006621
2,186.835,1.03304,0.745,1.20544,0.9074,0.84381,0.89242,0.69679,1.05034,1.09589,1.2697,0.00131232,0.00131232,0.00131232
3,275.296,1.04924,0.73703,1.24744,0.88295,0.84204,0.88541,0.67215,1.15696,1.04581,1.31906,0.00194605,0.00194605,0.00194605
4,361.858,1.05602,0.71536,1.21317,0.91848,0.84784,0.91143,0.68459,1.10992,0.89605,1.29922,0.00192575,0.00192575,0.00192575
5,448.249,1.05596,0.71682,1.22773,0.91524,0.83752,0.90551,0.70208,1.06591,0.91385,1.27189,0.001901,0.001901,0.001901
6,537.85,1.04132,0.69675,1.22207,0.91703,0.846,0.90473,0.69566,1.08201,0.88719,1.27247,0.00187625,0.00187625,0.00187625
7,626.997,1.03637,0.68799,1.22683,0.90397,0.84162,0.89153,0.68369,1.05103,1.08337,1.27087,0.0018515,0.0018515,0.0018515
8,715.835,1.01347,0.67666,1.2261,0.91381,0.84187,0.90182,0.71107,1.07234,1.00468,1.26759,0.00182675,0.00182675,0.00182675
9,804.6,0.99674,0.66453,1.20483,0.91526,0.85454,0.91118,0.72448,1.04658,0.88901,1.26406,0.001802,0.001802,0.001802
10,894.299,1.00321,0.65452,1.20429,0.91585,0.85222,0.90621,0.71171,1.03388,0.83049,1.2377,0.00177725,0.00177725,0.00177725
11,983.494,0.98753,0.64652,1.20806,0.91311,0.86412,0.91338,0.71536,1.02174,0.85945,1.24933,0.0017525,0.0017525,0.0017525
12,1073.34,0.97422,0.63457,1.21149,0.92001,0.85713,0.9137,0.72303,1.00219,0.82072,1.23457,0.00172775,0.00172775,0.00172775
13,1162.36,0.97005,0.63396,1.1828,0.92285,0.8629,0.91575,0.71869,1.02027,0.8214,1.24127,0.001703,0.001703,0.001703
14,1250.87,0.96844,0.63955,1.18072,0.91244,0.85498,0.90488,0.71244,1.03074,0.86474,1.27899,0.00167825,0.00167825,0.00167825
15,1339.23,0.96216,0.63037,1.21203,0.91994,0.85068,0.91229,0.71791,1.00283,0.83288,1.26835,0.0016535,0.0016535,0.0016535
16,1429.26,0.97009,0.63217,1.21092,0.91385,0.85356,0.90672,0.7035,1.03638,0.8734,1.2545,0.00162875,0.00162875,0.00162875
17,1519.55,0.95525,0.62687,1.1901,0.91297,0.85155,0.90283,0.70549,1.01673,0.88164,1.24285,0.001604,0.001604,0.001604
18,1609.12,0.95864,0.62156,1.18183,0.92769,0.8506,0.91261,0.71281,1.08069,0.86273,1.23924,0.00157925,0.00157925,0.00157925
19,1698.15,0.92923,0.6103,1.17399,0.91475,0.85965,0.91072,0.71617,1.00348,0.8605,1.26582,0.0015545,0.0015545,0.0015545
20,1786.54,0.91856,0.59621,1.17475,0.91283,0.86039,0.91143,0.72267,0.99212,0.82377,1.2623,0.00152975,0.00152975,0.00152975
21,1873.6,0.93124,0.5991,1.19387,0.92456,0.85816,0.91478,0.7214,0.98461,0.79257,1.24093,0.001505,0.001505,0.001505
22,1961.2,0.92222,0.59293,1.17704,0.91703,0.86311,0.91529,0.71649,1.02942,0.76872,1.27843,0.00148025,0.00148025,0.00148025
23,2048.48,0.91805,0.59101,1.17723,0.91699,0.8553,0.9059,0.71528,1.00897,0.82524,1.24527,0.0014555,0.0014555,0.0014555
24,2139.4,0.92506,0.60137,1.18014,0.92607,0.86271,0.91837,0.73885,0.9995,0.7791,1.23033,0.00143075,0.00143075,0.00143075
25,2227.73,0.90132,0.57717,1.17127,0.92627,0.85897,0.91874,0.72821,0.99204,0.8054,1.22618,0.001406,0.001406,0.001406
26,2317.19,0.9009,0.57636,1.16808,0.92801,0.85597,0.91496,0.7209,1.0091,0.82461,1.24945,0.00138125,0.00138125,0.00138125
27,2404.79,0.89975,0.57945,1.15242,0.91913,0.86403,0.91901,0.73402,0.99432,0.80378,1.22958,0.0013565,0.0013565,0.0013565
28,2493.18,0.90021,0.57144,1.16085,0.92498,0.85789,0.91542,0.72559,1.02017,0.81319,1.26831,0.00133175,0.00133175,0.00133175
29,2582.5,0.90153,0.58323,1.18119,0.92306,0.85145,0.9129,0.72465,0.98437,0.81538,1.22592,0.001307,0.001307,0.001307
30,2670.32,0.89015,0.57322,1.16447,0.92812,0.86003,0.91785,0.73352,0.96101,0.78104,1.23396,0.00128225,0.00128225,0.00128225
31,2756.58,0.8988,0.57481,1.16524,0.92377,0.85935,0.91804,0.73366,0.96212,0.76862,1.2726,0.0012575,0.0012575,0.0012575
